Row ID,Tanggal,Tweet ID,User ,Tweet,Web
1034,3/19/2021 5:45,1.37E+18,ADE," Kesabaran publik semakin menipis,  apalagi kemudian masalah klasik di Jakarta tetap  tidak bisa dikendalikan,   tidak ada solusinya,  seperti banjir,  macet dan masalah global pandemi yang masih terjadi. Semua bertanya dimana peran TGUPP?",https:/ / t.co/ BDOMEAHUOG
1035,3/19/2021 5:40,1.37E+18,ir. Cloud,"  @Paltiwest: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa pemberian Jokowi yang bermanfaat untuk Kurangi banjir di Makassar",
1036,3/19/2021 5:40,1.37E+18,Embun Pagi💧💧,  @Vendra_Deje: Presiden Jokowi resmikan Kolam Regulasi Nipah- Nipah di Kota Makassar. Kolam ini berfungsi untuk pengaturan air terutama banjir dan genangan di Kota Makassar,
1037,3/19/2021 5:38,1.37E+18,Novendra Deje 💮, Presiden Jokowi resmikan Kolam Regulasi Nipah- Nipah di Kota Makassar. Kolam ini berfungsi untuk pengaturan air terutama banjir dan genangan di Kota Makassar,https:/ / t.co/ ACzs7ZVUTf
1038,3/19/2021 5:38,1.37E+18,Kapten Indonesia 5,"  @Paltiwest: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa pemberian Jokowi yang bermanfaat untuk Kurangi banjir di Makassar",
1039,3/19/2021 5:35,1.37E+18,Amany,  @kebijakananies: Ini pernyataan langsung dari  Kepala BMKG Dwi Korita Karnawari yang mengungakapkan bahwa Pak @aniesbaswedan sudah simulasi sebelum Jakarta Banjir,
1040,3/19/2021 5:34,1.37E+18,Dafiz,  @kebijakananies: Ini pernyataan langsung dari  Kepala BMKG Dwi Korita Karnawari yang mengungakapkan bahwa Pak @aniesbaswedan sudah simulasi sebelum Jakarta Banjir,
1041,3/19/2021 5:32,1.37E+18,Jabreak_Yudha,  @kebijakananies: Ini pernyataan langsung dari  Kepala BMKG Dwi Korita Karnawari yang mengungakapkan bahwa Pak @aniesbaswedan sudah simulasi sebelum Jakarta Banjir,
1042,3/19/2021 5:28,1.37E+18,Soegeng_SX4- 225," @GoldenAngel_ @FerdinandHaean3 udah lah g usah digelar,  kembalikan saja uangnya,  mending untuk antisipasi banjir DKI Jakarta,  tp yang nyata.. jangan pakai cara yang g jelas juga.. ",https:/ / t.co/ 9uzebU4Kvz
1043,3/19/2021 5:26,1.37E+18,DYVNet™,  @June_dya77: Dear Warga Jakarta� Makassar kini punya Kolam Regulasi Nipa- Nipa yang bermanfaat untuk Kurangi banjir di Makassar. Jakarta kapan??,
1044,3/19/2021 5:20,1.37E+18,Yusuf Nusantara,"  @PakarINTELek: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa yang baru- baru ini diresmikan Presiden Joko Widodo",
1045,3/19/2021 5:14,1.37E+18,AFRIZAL TANJUNG,"  @YN___79: Presiden Resmikan Kolam Regulasi Nipa- Nipa di Makassar. Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa yang bermanfaat untuk Kurangi banjir di Makassar. Jakarta Kapan??",
1046,3/19/2021 5:13,1.37E+18,Zƈσɾƚαɾιҽȥ_,"  @PakarINTELek: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa yang baru- baru ini diresmikan Presiden Joko Widodo",
1047,3/19/2021 5:12,1.37E+18,Z&L,"  @MrsRachelIn: Makanya berkali- kali kebanjiran pd mingkem ya?  Banjir Jakarta,  3 Orang Batal Bersaksi  karena Merasa Terintimidasi",
1048,3/19/2021 5:05,1.37E+18,el,"  @PakarINTELek: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa yang baru- baru ini diresmikan Presiden Joko Widodo",
1049,3/19/2021 5:05,1.37E+18,Dæng Ai',"  @Paltiwest: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa pemberian Jokowi yang bermanfaat untuk Kurangi banjir di Makassar",
1050,3/19/2021 5:00,1.37E+18,Novendra Deje 💮,  @thewindancloud: Bismillahirahmanirohiim Makasar saat ini punya Kolam Regulasi Nipa- Nipa yang fungsinya untuk kurangi banjir Makasar.. Jakarta kapan??,
1051,3/19/2021 4:59,1.37E+18,Bahri Bahrum Nur,"  @Paltiwest: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa pemberian Jokowi yang bermanfaat untuk Kurangi banjir di Makassar",
1052,3/19/2021 4:56,1.37E+18,✂ cK -  ⚜ - ,"  @Paltiwest: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa pemberian Jokowi yang bermanfaat untuk Kurangi banjir di Makassar",
1053,3/19/2021 4:55,1.37E+18,de_darmawati,  @June_dya77: Dear Warga Jakarta� Makassar kini punya Kolam Regulasi Nipa- Nipa yang bermanfaat untuk Kurangi banjir di Makassar. Jakarta kapan??,
1054,3/19/2021 4:53,1.37E+18,📌 S E N O P A T I,"  @PakarINTELek: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa yang baru- baru ini diresmikan Presiden Joko Widodo",
1055,3/19/2021 4:53,1.37E+18,Elvheera,"  @PakarINTELek: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa yang baru- baru ini diresmikan Presiden Joko Widodo",
1056,3/19/2021 4:50,1.37E+18,Arya Saputra,"  @Paltiwest: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa pemberian Jokowi yang bermanfaat untuk Kurangi banjir di Makassar",
1057,3/19/2021 4:47,1.37E+18,Sugih Murtioso,"  @Paltiwest: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa pemberian Jokowi yang bermanfaat untuk Kurangi banjir di Makassar",
1058,3/19/2021 4:45,1.37E+18,LambeTalang,"  @PakarINTELek: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa yang baru- baru ini diresmikan Presiden Joko Widodo",
1059,3/19/2021 4:45,1.37E+18,💌GadisBelliee💞,"  @PakarINTELek: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa yang baru- baru ini diresmikan Presiden Joko Widodo",
1060,3/19/2021 4:42,1.37E+18,DarSur,"  @YN___79: Presiden Resmikan Kolam Regulasi Nipa- Nipa di Makassar. Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa yang bermanfaat untuk Kurangi banjir di Makassar. Jakarta Kapan??",
1061,3/19/2021 4:41,1.37E+18,Nusantara Indah," Presiden Resmikan Kolam Regulasi Nipa- Nipa di Makassar. Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa yang bermanfaat untuk Kurangi banjir di Makassar. Jakarta Kapan??",https:/ / t.co/ RBcjANDURn
1062,3/19/2021 4:40,1.37E+18,P W S,"  @PakarINTELek: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa yang baru- baru ini diresmikan Presiden Joko Widodo",
1063,3/19/2021 4:40,1.37E+18,Pujangga ͭ ͪ ͤ Great,"  @PakarINTELek: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa yang baru- baru ini diresmikan Presiden Joko Widodo",
1064,3/19/2021 4:37,1.37E+18,Priyo Gunawan,"  @Paltiwest: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa pemberian Jokowi yang bermanfaat untuk Kurangi banjir di Makassar",
1065,3/19/2021 4:35,1.37E+18,yanto," @jokowi Lalu jakarta gimana pak,  kok masing sering kebanjiran. Katanya dulu macet dan banjir banjir bisa diatasi kalau jadi presiden. Kok sama saja. Mending sekarang jakarta lebih aman  karena gubernurnya pak anis,  asal jangan di klaim saja itu  karena saya sudah jadi presiden lho.",https:/ / t.co/ P3zhN5HjnU
1066,3/19/2021 4:29,1.37E+18,Zul,"  @Paltiwest: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa pemberian Jokowi yang bermanfaat untuk Kurangi banjir di Makassar",
1067,3/19/2021 4:25,1.37E+18,#TT Dewi Darmawati,"  @Paltiwest: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa pemberian Jokowi yang bermanfaat untuk Kurangi banjir di Makassar",
1068,3/19/2021 4:25,1.37E+18,Koesdiono Noer Oerip,"  @ugie2806: Dear Warga Jakarta,  Makassar kini sudah punya Kolam Regulasi Nipa- Nipa yang bermanfaat untuk Kurangi banjir di Makassar",
